['design_id'],['created_at'],['design_name'],['file_location'],['file_name'],['last_updated']
"[8, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Wooden', '/usr', 'wooden-20220717-npgz.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]","[8, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Wooden', '/usr', 'wooden-20220717-npgz.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]","[8, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Wooden', '/usr', 'wooden-20220717-npgz.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]","[8, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Wooden', '/usr', 'wooden-20220717-npgz.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]","[8, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Wooden', '/usr', 'wooden-20220717-npgz.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]","[8, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Wooden', '/usr', 'wooden-20220717-npgz.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]"
"[51, datetime.datetime(2023, 1, 12, 18, 50, 9, 935000), 'Bronze', '/private', 'bronze-20221024-4dds.json', datetime.datetime(2023, 1, 12, 18, 50, 9, 935000)]","[51, datetime.datetime(2023, 1, 12, 18, 50, 9, 935000), 'Bronze', '/private', 'bronze-20221024-4dds.json', datetime.datetime(2023, 1, 12, 18, 50, 9, 935000)]","[51, datetime.datetime(2023, 1, 12, 18, 50, 9, 935000), 'Bronze', '/private', 'bronze-20221024-4dds.json', datetime.datetime(2023, 1, 12, 18, 50, 9, 935000)]","[51, datetime.datetime(2023, 1, 12, 18, 50, 9, 935000), 'Bronze', '/private', 'bronze-20221024-4dds.json', datetime.datetime(2023, 1, 12, 18, 50, 9, 935000)]","[51, datetime.datetime(2023, 1, 12, 18, 50, 9, 935000), 'Bronze', '/private', 'bronze-20221024-4dds.json', datetime.datetime(2023, 1, 12, 18, 50, 9, 935000)]","[51, datetime.datetime(2023, 1, 12, 18, 50, 9, 935000), 'Bronze', '/private', 'bronze-20221024-4dds.json', datetime.datetime(2023, 1, 12, 18, 50, 9, 935000)]"
"[50, datetime.datetime(2023, 1, 12, 16, 31, 9, 694000), 'Granite', '/private/var', 'granite-20220205-3vfw.json', datetime.datetime(2023, 1, 12, 16, 31, 9, 694000)]","[50, datetime.datetime(2023, 1, 12, 16, 31, 9, 694000), 'Granite', '/private/var', 'granite-20220205-3vfw.json', datetime.datetime(2023, 1, 12, 16, 31, 9, 694000)]","[50, datetime.datetime(2023, 1, 12, 16, 31, 9, 694000), 'Granite', '/private/var', 'granite-20220205-3vfw.json', datetime.datetime(2023, 1, 12, 16, 31, 9, 694000)]","[50, datetime.datetime(2023, 1, 12, 16, 31, 9, 694000), 'Granite', '/private/var', 'granite-20220205-3vfw.json', datetime.datetime(2023, 1, 12, 16, 31, 9, 694000)]","[50, datetime.datetime(2023, 1, 12, 16, 31, 9, 694000), 'Granite', '/private/var', 'granite-20220205-3vfw.json', datetime.datetime(2023, 1, 12, 16, 31, 9, 694000)]","[50, datetime.datetime(2023, 1, 12, 16, 31, 9, 694000), 'Granite', '/private/var', 'granite-20220205-3vfw.json', datetime.datetime(2023, 1, 12, 16, 31, 9, 694000)]"
"[69, datetime.datetime(2023, 2, 7, 17, 31, 10, 93000), 'Bronze', '/lost+found', 'bronze-20230102-r904.json', datetime.datetime(2023, 2, 7, 17, 31, 10, 93000)]","[69, datetime.datetime(2023, 2, 7, 17, 31, 10, 93000), 'Bronze', '/lost+found', 'bronze-20230102-r904.json', datetime.datetime(2023, 2, 7, 17, 31, 10, 93000)]","[69, datetime.datetime(2023, 2, 7, 17, 31, 10, 93000), 'Bronze', '/lost+found', 'bronze-20230102-r904.json', datetime.datetime(2023, 2, 7, 17, 31, 10, 93000)]","[69, datetime.datetime(2023, 2, 7, 17, 31, 10, 93000), 'Bronze', '/lost+found', 'bronze-20230102-r904.json', datetime.datetime(2023, 2, 7, 17, 31, 10, 93000)]","[69, datetime.datetime(2023, 2, 7, 17, 31, 10, 93000), 'Bronze', '/lost+found', 'bronze-20230102-r904.json', datetime.datetime(2023, 2, 7, 17, 31, 10, 93000)]","[69, datetime.datetime(2023, 2, 7, 17, 31, 10, 93000), 'Bronze', '/lost+found', 'bronze-20230102-r904.json', datetime.datetime(2023, 2, 7, 17, 31, 10, 93000)]"
"[16, datetime.datetime(2022, 11, 22, 15, 2, 10, 226000), 'Soft', '/System', 'soft-20211001-cjaz.json', datetime.datetime(2022, 11, 22, 15, 2, 10, 226000)]","[16, datetime.datetime(2022, 11, 22, 15, 2, 10, 226000), 'Soft', '/System', 'soft-20211001-cjaz.json', datetime.datetime(2022, 11, 22, 15, 2, 10, 226000)]","[16, datetime.datetime(2022, 11, 22, 15, 2, 10, 226000), 'Soft', '/System', 'soft-20211001-cjaz.json', datetime.datetime(2022, 11, 22, 15, 2, 10, 226000)]","[16, datetime.datetime(2022, 11, 22, 15, 2, 10, 226000), 'Soft', '/System', 'soft-20211001-cjaz.json', datetime.datetime(2022, 11, 22, 15, 2, 10, 226000)]","[16, datetime.datetime(2022, 11, 22, 15, 2, 10, 226000), 'Soft', '/System', 'soft-20211001-cjaz.json', datetime.datetime(2022, 11, 22, 15, 2, 10, 226000)]","[16, datetime.datetime(2022, 11, 22, 15, 2, 10, 226000), 'Soft', '/System', 'soft-20211001-cjaz.json', datetime.datetime(2022, 11, 22, 15, 2, 10, 226000)]"
"[54, datetime.datetime(2023, 1, 16, 9, 14, 9, 775000), 'Plastic', '/usr/ports', 'plastic-20221206-bw3l.json', datetime.datetime(2023, 1, 16, 9, 14, 9, 775000)]","[54, datetime.datetime(2023, 1, 16, 9, 14, 9, 775000), 'Plastic', '/usr/ports', 'plastic-20221206-bw3l.json', datetime.datetime(2023, 1, 16, 9, 14, 9, 775000)]","[54, datetime.datetime(2023, 1, 16, 9, 14, 9, 775000), 'Plastic', '/usr/ports', 'plastic-20221206-bw3l.json', datetime.datetime(2023, 1, 16, 9, 14, 9, 775000)]","[54, datetime.datetime(2023, 1, 16, 9, 14, 9, 775000), 'Plastic', '/usr/ports', 'plastic-20221206-bw3l.json', datetime.datetime(2023, 1, 16, 9, 14, 9, 775000)]","[54, datetime.datetime(2023, 1, 16, 9, 14, 9, 775000), 'Plastic', '/usr/ports', 'plastic-20221206-bw3l.json', datetime.datetime(2023, 1, 16, 9, 14, 9, 775000)]","[54, datetime.datetime(2023, 1, 16, 9, 14, 9, 775000), 'Plastic', '/usr/ports', 'plastic-20221206-bw3l.json', datetime.datetime(2023, 1, 16, 9, 14, 9, 775000)]"
"[55, datetime.datetime(2023, 1, 19, 8, 10, 10, 138000), 'Concrete', '/opt/include', 'concrete-20210614-04nd.json', datetime.datetime(2023, 1, 19, 8, 10, 10, 138000)]","[55, datetime.datetime(2023, 1, 19, 8, 10, 10, 138000), 'Concrete', '/opt/include', 'concrete-20210614-04nd.json', datetime.datetime(2023, 1, 19, 8, 10, 10, 138000)]","[55, datetime.datetime(2023, 1, 19, 8, 10, 10, 138000), 'Concrete', '/opt/include', 'concrete-20210614-04nd.json', datetime.datetime(2023, 1, 19, 8, 10, 10, 138000)]","[55, datetime.datetime(2023, 1, 19, 8, 10, 10, 138000), 'Concrete', '/opt/include', 'concrete-20210614-04nd.json', datetime.datetime(2023, 1, 19, 8, 10, 10, 138000)]","[55, datetime.datetime(2023, 1, 19, 8, 10, 10, 138000), 'Concrete', '/opt/include', 'concrete-20210614-04nd.json', datetime.datetime(2023, 1, 19, 8, 10, 10, 138000)]","[55, datetime.datetime(2023, 1, 19, 8, 10, 10, 138000), 'Concrete', '/opt/include', 'concrete-20210614-04nd.json', datetime.datetime(2023, 1, 19, 8, 10, 10, 138000)]"
"[10, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Soft', '/usr/share', 'soft-20220201-hzz1.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]","[10, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Soft', '/usr/share', 'soft-20220201-hzz1.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]","[10, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Soft', '/usr/share', 'soft-20220201-hzz1.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]","[10, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Soft', '/usr/share', 'soft-20220201-hzz1.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]","[10, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Soft', '/usr/share', 'soft-20220201-hzz1.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]","[10, datetime.datetime(2022, 11, 3, 14, 20, 49, 962000), 'Soft', '/usr/share', 'soft-20220201-hzz1.json', datetime.datetime(2022, 11, 3, 14, 20, 49, 962000)]"
"[57, datetime.datetime(2023, 1, 19, 10, 37, 9, 965000), 'Cotton', '/etc/periodic', 'cotton-20220527-vn4b.json', datetime.datetime(2023, 1, 19, 10, 37, 9, 965000)]","[57, datetime.datetime(2023, 1, 19, 10, 37, 9, 965000), 'Cotton', '/etc/periodic', 'cotton-20220527-vn4b.json', datetime.datetime(2023, 1, 19, 10, 37, 9, 965000)]","[57, datetime.datetime(2023, 1, 19, 10, 37, 9, 965000), 'Cotton', '/etc/periodic', 'cotton-20220527-vn4b.json', datetime.datetime(2023, 1, 19, 10, 37, 9, 965000)]","[57, datetime.datetime(2023, 1, 19, 10, 37, 9, 965000), 'Cotton', '/etc/periodic', 'cotton-20220527-vn4b.json', datetime.datetime(2023, 1, 19, 10, 37, 9, 965000)]","[57, datetime.datetime(2023, 1, 19, 10, 37, 9, 965000), 'Cotton', '/etc/periodic', 'cotton-20220527-vn4b.json', datetime.datetime(2023, 1, 19, 10, 37, 9, 965000)]","[57, datetime.datetime(2023, 1, 19, 10, 37, 9, 965000), 'Cotton', '/etc/periodic', 'cotton-20220527-vn4b.json', datetime.datetime(2023, 1, 19, 10, 37, 9, 965000)]"
"[41, datetime.datetime(2022, 12, 30, 10, 6, 10, 81000), 'Granite', '/usr/X11R6', 'granite-20220125-ifwa.json', datetime.datetime(2022, 12, 30, 10, 6, 10, 81000)]","[41, datetime.datetime(2022, 12, 30, 10, 6, 10, 81000), 'Granite', '/usr/X11R6', 'granite-20220125-ifwa.json', datetime.datetime(2022, 12, 30, 10, 6, 10, 81000)]","[41, datetime.datetime(2022, 12, 30, 10, 6, 10, 81000), 'Granite', '/usr/X11R6', 'granite-20220125-ifwa.json', datetime.datetime(2022, 12, 30, 10, 6, 10, 81000)]","[41, datetime.datetime(2022, 12, 30, 10, 6, 10, 81000), 'Granite', '/usr/X11R6', 'granite-20220125-ifwa.json', datetime.datetime(2022, 12, 30, 10, 6, 10, 81000)]","[41, datetime.datetime(2022, 12, 30, 10, 6, 10, 81000), 'Granite', '/usr/X11R6', 'granite-20220125-ifwa.json', datetime.datetime(2022, 12, 30, 10, 6, 10, 81000)]","[41, datetime.datetime(2022, 12, 30, 10, 6, 10, 81000), 'Granite', '/usr/X11R6', 'granite-20220125-ifwa.json', datetime.datetime(2022, 12, 30, 10, 6, 10, 81000)]"
